Major,Course Name,Course ID,CRN,Credits,Instructor
ACC,Introduction to Accounting I,ACC 200,84263,3,R C Antal
ACC,Introduction to Accounting I,ACC 200,84264,3,R C Antal
ACC,Introduction to Accounting I,ACC 200,87266,3,R C Antal
ACC,Introduction to Accounting I,ACC 200,84266,3,J Zhou
ACC,Introduction to Accounting I,ACC 200,84267,3,J Zhou
ACC,Introduction to Accounting I,ACC 200,85296,3,K V Santaniello
ACC,Introduction to Accounting I,ACC 200,85297,3,K V Santaniello
ACC,Introduction to Accounting I,ACC 200,88601,3,A S Ramchandani
ACC,Introduction to Accounting II,ACC 210,84549,3,M C Woollen
ACC,Introduction to Accounting II,ACC 210,84550,3,M C Woollen
ACC,Introduction to Accounting II,ACC 210,84551,3,L Guan
ACC,Introduction to Accounting II,ACC 210,84552,3,L Guan
ACC,Introduction to Accounting II,ACC 210,84553,3,L Guan
ACC,Introduction to Accounting II,ACC 210,88603,3,I Yoo
ACC,Introduction to Accounting II,ACC 210,88604,3,I Yoo
ACC,Introduction to Accounting II,ACC 210,85495,3,Y Park
ACC,Introduction to Accounting II,ACC 210,86174,3,B Jung
ACC,Introduction to Accounting II,ACC 210,87503,3,B Jung
ACC,Intermediate Financial Acc IRestriction: College,ACC 321,80001,3,K V Santaniello
ACC,Intermediate Financial Acc IRestriction: College,ACC 321,80002,3,K V Santaniello
ACC,Intermediate Financial Acc IIRestriction: College,ACC 323,80003,3,M C Woollen
ACC,Intermediate Financial Acc IIRestriction: College,ACC 323,80004,3,M C Woollen
ACC,Accounting InternshipRestriction: Instructor Approval,ACC 395,81835,1-3,R W Varley
ACC,Federal Individl Income TaxatnRestriction: College,ACC 401,80005,3,R C Antal
ACC,Federal Individl Income TaxatnRestriction: College,ACC 401,87267,3,R C Antal
ACC,Accounting Information SystemsRestriction: College,ACC 409,84269,3,J Lim
ACC,Accounting Information SystemsRestriction: College,ACC 409,84268,3,J Lim
ACC,AuditingRestriction: College,ACC 418,83037,3,C M Kaiama
ACC,AuditingRestriction: College,ACC 418,81834,3,C M Kaiama
ACC,AuditingRestriction: College,ACC 418,88606,3,P H Higo
ACC,Acc Capstone: Manag-Tax-EthicsRestriction: Major,ACC 465B,87271,2,T C Pearson
ACC,Acc Capstone: Manag-Tax-EthicsRestriction: Major,ACC 465B,87272,2,T C Pearson
ACC,Acc Capstone: Fin-Audit-AISRestriction: Major,ACC 465C,87274,2,Y Park
ACC,Acc Capstone: Fin-Audit-AISRestriction: Major,ACC 465C,87275,2,Y Park
ACC,CPA-Audit and Attestation,ACC 602,83909,1,H Pourjalali
ACC,CPA-BEC,ACC 603,83908,1,H Pourjalali
ACC,CPA-FAR,ACC 604,83910,1,H Pourjalali
ACC,CPA-Regulation,ACC 605,83911,1,H Pourjalali
ACC,Info Assurance & AnalyticsRestriction: Major,ACC 619,83653,3,J Lim
ACC,Accounting & Tax ResearchRestriction: Major,ACC 625,82469,3,T C Pearson
ACC,Financial Statements Analysis,ACC 648,83907,1,M J Mitsuyasu
ACC,Analysis & Decision-MakingRestriction: Department Approval,ACC 660,80006,2,H Pourjalali
ACC,Accounting InternshipRestriction: Instructor Approval,ACC 695,82470,1-3,R W Varley
AMST,Intro American Studies Writing,AMST 111,86455,3,A A Prosi
AMST,Intro American Studies Writing,AMST 111,86456,3,A A Prosi
AMST,Intro American Studies Writing,AMST 111,87512,3,L Fisher
AMST,Intro American Studies Writing,AMST 111,87515,3,L Fisher
AMST,Intro American Studies Writing,AMST 111,88861,3,J Jung
AMST,Intro American Studies Writing,AMST 111,88862,3,J Jung
AMST,Intro American Studies Writing,AMST 111,88976,3,R R Perkinson
AMST,America and the World,AMST 150,82547,3,J A Tripp
AMST,America and the World,AMST 150,83338,3,J A Tripp
AMST,America and the World,AMST 150,82742,3,J A Tripp
AMST,America and the World,AMST 150,83339,3,J A Tripp
AMST,America and the World,AMST 150,84252,3,J A Tripp
AMST,America and the World,AMST 150,85422,3,J A Tripp
AMST,America and the World,AMST 150,85824,3,J A Tripp
AMST,American Exp: Inst & Movemnts,AMST 201,84554,3,N M Iati
AMST,American Exp: Inst & Movemnts,AMST 201,84555,3,N M Iati
AMST,Amer Exp: Culture & the Arts,AMST 202,84556,3,K G Guo
AMST,Amer Exp: Culture & the Arts,AMST 202,85437,3,K G Guo
AMST,Contemp Amer Domestic Issues,AMST 211,84557,3,J B Brody
AMST,Contemp Amer Domestic Issues,AMST 211,84558,3,J B Brody
AMST,Contemp Amer Domestic Issues,AMST 211,89410,3,D Rainey
AMST,Contemp Amer Domestic Issues,AMST 211,89411,3,D Rainey
AMST,Contemp Amer Global Issues,AMST 212,84559,3,B S Sandlin
AMST,Contemp Amer Global Issues,AMST 212,84560,3,B S Sandlin
AMST,Art and Social Change,AMST 225,88868,3,A M Crawford
AMST,Hip-Hop & American Culture,AMST 301,88870,3,B P Dawson
AMST,Japanese Americans,AMST 310,88888,3,S K Ikehara
AMST,American Environments: Survey,AMST 320,88890,3,S K Ikehara
AMST,American Design,AMST 348,85826,3,W Temple
AMST,Contemporary American Design,AMST 349,87544,3,W Temple
AMST,Screening Asian Americans,AMST 352,89178,3,R E Hong
AMST,American Cinema,AMST 360,87545,3,J K Eagle
AMST,American Cinema,AMST 360,87546,3,J K Eagle
AMST,American Cinema,AMST 360,88893,3,J K Eagle
AMST,American Cinema,AMST 360,88895,3,J K Eagle
AMST,Trans* Studies,AMST 437,86682,3,A H Ladner
AMST,Studies in American Melodrama,AMST 450,88898,3,J K Eagle
AMST,Museum Interpretations,AMST 457,87996,3,J N Burris
AMST,Sports in America,AMST 459,86613,3,A H Ladner
AMST,Preservation: Hawaii/Asia/Pac,AMST 474,82467,3,J A Tripp
AMST,Senior Capstone ProjectRestriction: Major,AMST 484,83667,3,Y Jung
AMST,Tpcs: Soc Struct & Interaction(Korean American Diaspora),AMST 490B,88899,3,Y Jung
AMST,Patterns of American Cultures,AMST 601,84349,3,L Z Mariano
AMST,Intro to Cultural Studies,AMST 613,88900,3,N Njoroge
AMST,Public History & Commemoration,AMST 635,88905,3,J N Burris
AMST,Museums and Education,AMST 685,85770,3,N M Kahanu
AMST,Museum Studies PracticumRestriction: Instructor Approval,AMST 686,80973,3,N M Kahanu
ANAT,Ind Stdy: Human Gross AnatomyRestriction: Major,ANAT 599B,86839,1,V B Alarcon
ANAT,Ind Stdy: Human Gross AnatomyRestriction: Major,ANAT 599B,86840,1,G Aytac
ANAT,Ind Stdy: HistologyRestriction: Major,ANAT 599C,85310,1,B C Fogelgren
ANAT,Ind Stdy: HistologyRestriction: Major,ANAT 599C,85311,1,T Matsui
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85312,1-2,V B Alarcon
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85313,1-2,B C Fogelgren
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85314,1-2,S Lozanoff
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85715,1-2,R W Mann
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85315,1-2,Y Marikawa
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85316,1-2,T Matsui
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85714,1-2,A K Maunakea
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85713,1-2,K J Schunke
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85712,1-2,J G Urschitz
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85318,1-2,C F Uyehara
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85317,1-2,W S Ward
ANAT,Ind Stdy: Rsch Anat/Dev BiolRestriction: Major,ANAT 599D,85711,1-2,Y Zhang
ANAT,"Lwr Extremity, Thorax & AbsRestriction: Major",ANAT 603,85975,3,C D Stickley
ANAT,Seminar in Anatomy TeachingRestriction: Major,ANAT 612,82434,1-4,S Lozanoff
ANAT,Seminar in Anatomy TeachingRestriction: Major,ANAT 612,82433,1-4,C D Stickley
ANSC,Princ & Pract of Animal Sci II,ANSC 201,80011,3,C C Reichhardt
ANSC,Swine Production,ANSC 432,88539,3,C C Reichhardt
ANSC,Genetics and Animal Breeding,ANSC 445,83952,3,Y He
ANSC,Physiology of Domestic Animals,ANSC 451,82002,3,B Mishra
ANSC,Animal Diseases & their Cntrl,ANSC 453,89518,3,R K Mishra
ANSC,Comparative Endocrinology,ANSC 472,88540,3,A P Seale
ANSC,Field ExperienceRestriction: Instructor Approval,ANSC 492,82546,4,B Mishra
ANSC,Seminar in Animal Science,ANSC 641,84438,1,Z Yang
ANSC,Advanced Topics in Animal Sc.Restriction: Instructor Approval,ANSC 682,88493,1-3,M S Thorne
ANSC,Advanced Topics in Animal Sc.(Topics in animal sciences (Topics in aquaculture research - directed readings))Restriction: Major,ANSC 682,89455,2,A P Seale
ANTH,Emerging Humanity,ANTH 151,81141,3,D A Cusimano
ANTH,Emerging Humanity,ANTH 151,82211,3,D A Cusimano
ANTH,Emerging Humanity,ANTH 151,82212,3,D A Cusimano
ANTH,Emerging Humanity,ANTH 151,82213,3,D A Cusimano
ANTH,Emerging Humanity,ANTH 151,82214,3,D A Cusimano
ANTH,Emerging Humanity,ANTH 151,82215,3,D A Cusimano
ANTH,Emerging Humanity,ANTH 151,89338,3,P A Broadhurst
ANTH,Emerging Humanity,ANTH 151,89337,3,R B Hoerman
ANTH,Culture and Humanity,ANTH 152,80016,3,A Golub
ANTH,Culture and Humanity,ANTH 152,82216,3,A Golub
ANTH,Culture and Humanity,ANTH 152,82217,3,A Golub
ANTH,Culture and Humanity,ANTH 152,82218,3,A Golub
ANTH,Culture and Humanity,ANTH 152,82219,3,A Golub
ANTH,Culture and Humanity,ANTH 152,82220,3,A Golub
ANTH,Culture and Humanity,ANTH 152,84270,3,G C Pigliasco
ANTH,Culture and Humanity,ANTH 152,89349,3,G C Pigliasco
ANTH,Culture and Humanity,ANTH 152,89350,3,G C Pigliasco
ANTH,Culture and Humanity,ANTH 152,89353,3,G C Pigliasco
ANTH,Culture and Humanity,ANTH 152,89348,3,G C Pigliasco
ANTH,Culture and Humanity,ANTH 152,89351,3,G C Pigliasco
ANTH,Culture and Humanity,ANTH 152,89352,3,G C Pigliasco
ANTH,Historical Ecology of Hawai'i,ANTH 204,89332,3,P V Kirch
ANTH,Archaeology,ANTH 210,84271,3,J M Bayman
ANTH,Biological Anthropology,ANTH 215,81142,3,E Agey
ANTH,Biological Anthropology Lab,ANTH 215L,81143,1,E Agey
ANTH,Biological Anthropology Lab,ANTH 215L,81144,1,E Agey
ANTH,Biological Anthropology Lab,ANTH 215L,82221,1,E Agey
ANTH,Culture and Health,ANTH 301,87207,3,R A Tjoeng
ANTH,Culture and Health,ANTH 301,88332,3,E Saethre
ANTH,Human Origins,ANTH 310,89305,3,C J Bae
ANTH,Sex and Gender,ANTH 315,89336,3,J M Brunson
ANTH,Anthropology of Tourism,ANTH 316,84272,3,G C Pigliasco
ANTH,Indigenous North America,ANTH 329,89333,3,J M Bayman
ANTH,Society and Environment,ANTH 335,86286,3,C Loh
ANTH,Primate Behavioral Ecology,ANTH 360,89325,3,E Agey
ANTH,Household Archaeology,ANTH 369,89331,3,C E Peterson
ANTH,Archaeology PracticumRestriction: Instructor Approval,ANTH 379,83044,1-3,S Moore
ANTH,Ethics in Anthropology,ANTH 410,89380,3,P A Broadhurst
ANTH,Anthropology of Sexuality,ANTH 426,87900,3,E Saethre
ANTH,Polynesian Cultures,ANTH 447,89445,3,P V Kirch
ANTH,Extinctions,ANTH 459,89322,3,C J Bae
ANTH,"Science, Sex, & Reproduction",ANTH 465,85301,3,J M Brunson
ANTH,Field Mapping,ANTH 471,87378,3,S Moore
ANTH,History of Anthropology,ANTH 490,89378,3,A Golub
ANTH,Archaeology,ANTH 603,89328,3,S Quintus
ANTH,Historic Preservation,ANTH 645,88190,3,S Collins
ANTH,Advances in Extinctions,ANTH 659,89311,3,C J Bae
ANTH,Advanced Household Archaeology,ANTH 669,89444,3,C E Peterson
ANTH,Applied Archaeology PracticumRestriction: Instructor Approval,ANTH 670,81688,3-6,S Moore
ANTH,Research Design & Proposal,ANTH 711,81657,3,M T Stark
ANTH,Rsch Sem: Ethnography,ANTH 750D,89346,3,T P Tengan
ARAB,Elem Modern Standard Arabic,ARAB 102,88734,4,A A Mirza
ARCH,Design Fdn Studio IIRestriction: Major,ARCH 102,85035,4,L C Walters
ARCH,Collab. in Environ Design,ARCH 200,82198,3,E J Peterson
ARCH,Beginning Design Studio IIRestriction: Major,ARCH 202,85036,4,E J Peterson
ARCH,Intro to Environ Systems ARestriction: Major,ARCH 220,82763,3,F E Igualt
ARCH,World Architecture & Urbnsm BRestriction: Major,ARCH 272,81355,3,L M McGuire
ARCH,Tect for EnvD: Integrated SysRestriction: Major,ARCH 330,89274,3,Y Ishida
ARCH,Intermediate Design Studio IIRestriction: Major,ARCH 342,85038,4,H Park
ARCH,Intermediate Design Studio IIRestriction: Major,ARCH 342,85039,4,M Roehrle
ARCH,Intermediate Design Studio IIRestriction: Major,ARCH 342,85040,4,J N O'Neill
ARCH,Intermediate Design Studio IIRestriction: Major,ARCH 342,87886,4,J E Karasik
ARCH,Landscape Architecture HistoryRestriction: Major,ARCH 352,83963,3,A J Kaufman
ARCH,Capstone Design StudioRestriction: Major,ARCH 418,89275,4,H Lee
ARCH,Capstone Design StudioRestriction: Major,ARCH 418,89276,4,F E Igualt
ARCH,Construction Project ManagemntRestriction: Major,ARCH 432,83159,3,A DelosReyes
ARCH,Profssnl Practice Law & EthicsRestriction: Major,ARCH 433,82199,3,T J Hassler
ARCH,Preservation: Hawaii/Asia/PacRestriction: Major,ARCH 474,82548,3,J A Tripp
ARCH,Urban Ecological Analy & DesRestriction: Major,ARCH 483,83640,3,S M Bussiere
ARCH,Plants in DesignRestriction: Major,ARCH 484,83641,3,A J Kaufman
ARCH,Special TopicsRestriction: Major,ARCH 490,83551,3,H Park
ARCH,Special TopicsRestriction: Major,ARCH 490,84402,3,B Kanisthakhon
ARCH,Special TopicsRestriction: Major,ARCH 490,83968,3,C L Ho
